,Date,Open_price,Day_high,Day_low,Closing_price,Currency Pair
0,2014-11-25,61.84000,61.90000,61.73000,61.84000,USD/INR
1,2014-11-26,61.72800,61.90800,61.66000,61.78800,USD/INR
2,2014-11-27,61.75300,62.23000,61.68000,61.85300,USD/INR
3,2014-11-30,62.20300,62.23000,54.70000,62.20300,USD/INR
4,2014-12-01,61.90300,62.03000,61.79000,61.94800,USD/INR
5,2014-12-02,61.78800,61.94800,61.29000,61.78800,USD/INR
6,2014-12-03,61.85600,61.95000,61.74000,61.85600,USD/INR
7,2014-12-04,61.62000,61.98000,61.37000,61.78300,USD/INR
8,2014-12-07,61.91100,61.99000,61.78000,61.91100,USD/INR
9,2014-12-08,61.81800,61.95000,61.78000,61.81800,USD/INR
10,2014-12-09,61.79800,62.12000,61.76300,61.87300,USD/INR
11,2014-12-10,62.00300,62.53000,62.00300,62.00300,USD/INR
12,2014-12-11,62.20300,62.59000,62.20300,62.47300,USD/INR
13,2014-12-14,62.51800,63.30000,62.27000,62.51800,USD/INR
14,2014-12-15,62.90300,63.95000,62.80300,63.16800,USD/INR
15,2014-12-16,63.52800,63.87800,63.35000,63.65300,USD/INR
16,2014-12-17,63.23000,63.51800,62.80000,63.51800,USD/INR
17,2014-12-18,62.99000,63.32800,62.96000,62.98300,USD/INR
18,2014-12-21,63.23800,63.30000,62.94000,63.24000,USD/INR
19,2014-12-22,63.22300,63.48000,63.15000,63.22300,USD/INR
20,2014-12-23,63.33000,63.55800,63.21000,63.43300,USD/INR
21,2014-12-24,63.40000,63.40000,63.40000,63.40000,USD/INR
22,2014-12-25,63.43000,63.65000,63.25000,63.51300,USD/INR
23,2014-12-28,63.51300,63.70800,63.51300,63.59000,USD/INR
24,2014-12-29,63.66300,63.77800,63.24000,63.66300,USD/INR
25,2014-12-30,63.37800,63.38000,62.88000,63.37800,USD/INR
26,2014-12-31,63.02800,63.09000,63.02800,63.02800,USD/INR
27,2015-01-01,63.09000,63.46000,62.90000,63.02800,USD/INR
28,2015-01-04,63.27800,63.48000,63.17000,63.27800,USD/INR
29,2015-01-05,63.33800,63.61800,63.25000,63.33800,USD/INR
30,2015-01-06,63.47000,63.58000,63.15000,63.56800,USD/INR
31,2015-01-07,63.27300,63.27300,61.60000,63.27300,USD/INR
32,2015-01-08,62.66800,62.66800,62.00000,62.66800,USD/INR
33,2015-01-11,62.34800,62.34800,61.93000,62.34800,USD/INR
34,2015-01-12,62.06800,62.16800,61.92000,62.06800,USD/INR
35,2015-01-13,61.97300,62.22800,61.87000,61.97300,USD/INR
36,2015-01-14,62.16000,62.17000,61.41000,62.08800,USD/INR
37,2015-01-15,62.05800,62.18000,61.59000,62.05800,USD/INR
