iter	Passed	Remaining
0	2	704
1	4	661
2	6	636
3	8	620
4	10	608
5	12	614
6	14	592
7	15	578
8	17	578
9	20	583
10	21	576
11	23	571
12	25	564
13	27	556
14	28	549
15	31	557
16	33	564
17	36	565
18	37	559
19	39	554
20	41	551
21	43	548
22	45	543
23	47	546
24	49	549
25	52	551
26	54	548
27	56	546
28	58	543
29	60	544
30	62	542
31	64	540
32	66	535
33	68	532
34	70	531
35	72	528
36	74	528
37	76	526
38	78	523
39	80	522
40	82	518
41	83	514
42	85	510
43	87	508
44	89	509
45	91	506
46	93	503
47	95	501
48	97	498
49	99	498
50	102	498
51	104	500
52	107	500
53	109	498
54	111	494
55	113	493
56	115	490
57	117	489
58	120	490
59	122	489
60	124	486
61	126	484
62	128	482
63	130	479
64	132	478
65	134	475
66	135	472
67	137	469
68	139	466
69	141	463
70	142	460
71	144	458
72	147	457
73	149	455
74	151	453
75	152	450
76	154	447
77	156	444
78	158	442
79	160	441
80	162	440
81	164	437
82	166	434
83	168	433
84	170	431
85	172	429
86	174	426
87	176	424
88	177	421
89	179	419
90	181	417
91	184	416
92	186	415
93	188	412
94	190	411
95	192	409
96	194	406
97	196	404
98	198	402
99	200	400
100	202	398
101	203	395
102	205	393
103	207	390
104	209	388
105	211	387
106	213	385
107	215	383
108	217	380
109	218	378
110	220	376
111	222	373
112	224	371
113	226	369
114	228	367
115	230	365
116	232	363
117	233	360
118	235	358
119	237	355
120	239	353
121	241	351
122	242	349
123	244	347
124	246	344
125	248	342
126	250	340
127	251	338
128	254	336
129	256	335
130	258	333
131	261	332
132	262	329
133	264	327
134	266	325
135	267	323
136	270	322
137	273	320
138	275	318
139	276	316
140	278	314
141	280	312
142	282	309
143	283	307
144	286	306
145	288	304
146	290	302
147	292	299
148	293	297
149	295	295
150	297	293
151	299	292
152	301	290
153	303	287
154	305	285
155	307	283
156	309	281
157	311	279
158	312	277
159	314	275
160	316	273
161	318	271
162	320	269
163	322	267
164	324	265
165	326	263
166	328	261
167	330	259
168	331	257
169	333	255
170	335	252
171	337	251
172	339	249
173	341	246
174	343	245
175	345	243
176	346	240
177	348	239
178	350	236
179	352	234
180	353	232
181	356	230
182	358	229
183	360	227
184	363	225
185	365	223
186	367	221
187	369	219
188	371	218
189	373	216
190	375	214
191	377	212
192	379	210
193	381	208
194	382	206
195	384	204
196	386	202
197	388	200
198	390	197
199	391	195
200	393	193
201	395	191
202	397	189
203	399	187
204	401	186
205	403	184
206	405	182
207	407	180
208	410	178
209	412	176
210	415	175
211	418	173
212	420	171
213	423	170
214	425	168
215	426	165
216	428	164
217	430	161
218	432	160
219	434	158
220	436	155
221	438	153
222	439	151
223	441	149
224	444	148
225	447	146
226	448	144
227	450	142
228	452	140
229	454	138
230	456	136
231	458	134
232	460	132
233	462	130
234	464	128
235	466	126
236	468	124
237	470	122
238	472	120
239	473	118
240	475	116
241	477	114
242	478	112
243	480	110
244	482	108
245	485	106
246	487	104
247	489	102
248	491	100
249	492	98
250	494	96
251	496	94
252	498	92
253	499	90
254	501	88
255	503	86
256	505	84
257	507	82
258	509	80
259	511	78
260	512	76
261	515	74
262	516	72
263	518	70
264	520	68
265	522	66
266	524	64
267	526	62
268	528	60
269	530	58
270	531	56
271	533	54
272	535	52
273	537	50
274	538	48
275	540	47
276	543	45
277	545	43
278	546	41
279	548	39
280	550	37
281	552	35
282	554	33
283	555	31
284	558	29
285	561	27
286	563	25
287	565	23
288	567	21
289	569	19
290	571	17
291	573	15
292	575	13
293	576	11
294	578	9
295	580	7
296	582	5
297	584	3
298	586	1
299	588	0
