iter	RMSE
0	3.305875548
1	3.176702767
2	3.05047073
3	2.934363621
4	2.823684206
5	2.710356009
6	2.601462244
7	2.503625869
8	2.412647541
9	2.325468367
10	2.240085732
11	2.157306679
12	2.077931166
13	2.004716328
14	1.933132167
15	1.870012361
16	1.809549348
17	1.745206675
18	1.684708685
19	1.627814028
20	1.570906976
21	1.516645816
22	1.464812539
23	1.414933484
24	1.367593964
25	1.326652153
26	1.284708125
27	1.242017129
28	1.203051101
29	1.163008314
30	1.126367465
31	1.089899561
32	1.06007792
33	1.030410375
34	1.003843428
35	0.9759096342
36	0.9456066737
37	0.9203633719
38	0.8967230488
39	0.8708189673
40	0.8449855072
41	0.820200083
42	0.7982912674
43	0.7765341744
44	0.7563531762
45	0.7360872587
46	0.7177671587
47	0.7011607066
48	0.6854373019
49	0.6677990936
50	0.6520887363
51	0.63629568
52	0.6208900353
53	0.6079556201
54	0.5950915368
55	0.5819590864
56	0.5700368293
57	0.5591622245
58	0.5476778854
59	0.5375152062
60	0.5271464141
61	0.517915183
62	0.5087918459
63	0.5006414771
64	0.4918767694
65	0.483530216
66	0.4751297344
67	0.4673424008
68	0.4600263364
69	0.4527095462
70	0.4470152231
71	0.4417361831
72	0.4358549701
73	0.4301913935
74	0.424595619
75	0.4195138948
76	0.414543074
77	0.40973761
78	0.4047020649
79	0.4005261337
80	0.396383605
81	0.3924280305
82	0.3888158231
83	0.3854067543
84	0.3819095374
85	0.3784917471
86	0.3748603938
87	0.370579992
88	0.3672103716
89	0.3643697529
90	0.3613615009
91	0.358719138
92	0.3560932683
93	0.3533375975
94	0.3509885408
95	0.3486992685
96	0.34656263
97	0.3442474056
98	0.3423050041
99	0.3404723467
100	0.3380604562
101	0.3356933616
102	0.3334428848
103	0.3313890823
104	0.3286047034
105	0.3264848526
106	0.3248134173
107	0.3230139236
108	0.3207154043
109	0.3190342208
110	0.3172671174
111	0.3158717175
112	0.3145479124
113	0.3125484903
114	0.3108548896
115	0.3092813503
116	0.3075132964
117	0.3061684454
118	0.3053738785
119	0.3041135161
120	0.302800042
121	0.3012665128
122	0.3002466313
123	0.2990168447
124	0.2974132888
125	0.296230558
126	0.2948891937
127	0.293694478
128	0.2923183775
129	0.2907549025
130	0.2889028195
131	0.2875178716
132	0.2862711259
133	0.2851582983
134	0.2844163646
135	0.283089186
136	0.2823187058
137	0.2813543838
138	0.2804858792
139	0.2798233217
140	0.2789657073
141	0.2780948189
142	0.2771187003
143	0.2762381732
144	0.2753826779
145	0.2746158103
146	0.2739762466
147	0.2728268684
148	0.2719243354
149	0.2711243635
150	0.2706745047
151	0.2695220337
152	0.2683220193
153	0.2672510531
154	0.2663745847
155	0.2661176455
156	0.2649243979
157	0.2638837963
158	0.2631783737
159	0.2621485332
160	0.261285262
161	0.2601543255
162	0.2590486579
163	0.2582878032
164	0.258077574
165	0.2569015531
166	0.2562589906
167	0.2553675466
168	0.2543120433
169	0.2530913837
170	0.2523798237
171	0.251731321
172	0.2508991839
173	0.2502771773
174	0.2500003092
175	0.2496970641
176	0.2486510419
177	0.247811208
178	0.2476120293
179	0.2469161309
180	0.2462797198
181	0.2453697095
182	0.244820822
183	0.2446284624
184	0.2439378162
185	0.2437363113
186	0.242562727
187	0.242447067
188	0.2415753422
189	0.241368962
190	0.2401912181
191	0.2392393209
192	0.2390209098
193	0.2384731092
194	0.2379013796
195	0.2375067698
196	0.2366891126
197	0.2358367048
198	0.2350523597
199	0.2342115245
200	0.2336183663
201	0.2328458828
202	0.2320321654
203	0.2318758417
204	0.2310045244
205	0.2308076687
206	0.2307069399
207	0.2298188539
208	0.2292085744
209	0.2285640984
210	0.2279889054
211	0.2273603838
212	0.2266757984
213	0.2265242347
214	0.2260939197
215	0.2254667226
216	0.2249289029
217	0.2242138089
218	0.2233219844
219	0.2229920027
220	0.2220783702
221	0.2216425173
222	0.2215485846
223	0.2212534966
224	0.2209732165
225	0.2207096995
226	0.2201074071
227	0.2192506416
228	0.2190232943
229	0.2187739777
230	0.2183077219
231	0.2176907483
232	0.2170970109
233	0.2169209976
234	0.2166895988
235	0.2164691368
236	0.2159989232
237	0.2153200373
238	0.2145988086
239	0.2139062048
240	0.213807275
241	0.2133240949
242	0.2124897411
243	0.2120277464
244	0.2119325571
245	0.2117777341
246	0.2116918434
247	0.2116164936
248	0.2115439523
249	0.2111300159
250	0.2104597228
251	0.2103902468
252	0.2102585738
253	0.2101932422
254	0.2101244171
255	0.2096970243
256	0.2094317776
257	0.2090310902
258	0.208582508
259	0.2080223003
260	0.2078264001
261	0.206988392
262	0.206513451
263	0.2060539671
264	0.2058085375
265	0.2051532388
266	0.2044297549
267	0.2036044056
268	0.2030721126
269	0.2030178738
270	0.2024933293
271	0.2023977005
272	0.2019711366
273	0.2016316546
274	0.2011750827
275	0.2006178476
276	0.2005675042
277	0.2001621887
278	0.2001139529
279	0.2000465599
280	0.199788231
281	0.1997328845
282	0.199686479
283	0.1991086598
284	0.1988371616
285	0.1986915849
286	0.1986488855
287	0.1985256181
288	0.1981381427
289	0.1980312044
290	0.1974690999
291	0.1973573037
292	0.1968682294
293	0.1962528323
294	0.1960932622
295	0.1960457511
296	0.195779224
297	0.1954038662
298	0.1950237599
299	0.1945936494
