iter	Passed	Remaining
0	2	664
1	4	666
2	6	613
3	8	601
4	10	590
5	12	609
6	14	606
7	16	601
8	18	590
9	19	578
10	21	568
11	23	569
12	25	561
13	27	565
14	29	566
15	31	567
16	33	559
17	35	557
18	37	552
19	39	546
20	41	553
21	43	551
22	45	545
23	47	541
24	49	543
25	51	542
26	53	537
27	55	541
28	57	537
29	59	532
30	61	530
31	63	529
32	64	524
33	66	521
34	69	528
35	71	525
36	73	521
37	75	521
38	77	518
39	79	515
40	81	517
41	83	515
42	85	513
43	87	511
44	89	507
45	91	504
46	93	503
47	95	501
48	97	499
49	99	499
50	101	497
51	103	494
52	105	493
53	108	492
54	109	489
55	111	487
56	113	484
57	115	482
58	117	479
59	119	479
60	121	476
61	123	472
62	125	473
63	127	470
64	129	467
65	131	466
66	133	463
67	135	461
68	136	458
69	139	457
70	140	454
71	142	451
72	144	450
73	146	447
74	148	445
75	150	443
76	152	442
77	155	441
78	157	441
79	160	440
80	161	437
81	164	436
82	165	433
83	168	432
84	170	431
85	172	428
86	174	426
87	176	424
88	178	422
89	180	420
90	182	419
91	184	417
92	186	414
93	188	412
94	189	409
95	191	407
96	193	404
97	195	403
98	197	401
99	199	399
100	201	397
101	203	395
102	205	393
103	207	390
104	209	388
105	212	388
106	214	387
107	216	385
108	218	382
109	220	380
110	221	377
111	223	375
112	225	373
113	227	371
114	229	369
115	231	367
116	233	365
117	235	363
118	237	361
119	240	360
120	242	358
121	244	356
122	246	354
123	248	352
124	250	350
125	251	347
126	254	346
127	255	343
128	257	341
129	259	339
130	261	336
131	263	334
132	264	332
133	267	331
134	269	329
135	270	326
136	272	324
137	274	322
138	276	320
139	278	318
140	280	315
141	282	314
142	284	312
143	286	310
144	288	308
145	290	305
146	292	304
147	294	302
148	296	300
149	298	298
150	300	296
151	301	294
152	304	292
153	306	290
154	307	287
155	310	286
156	312	284
157	314	282
158	316	280
159	317	278
160	319	275
161	321	273
162	324	272
163	326	270
164	327	268
165	329	266
166	331	264
167	333	261
168	335	259
169	337	258
170	339	256
171	341	254
172	344	252
173	345	250
174	347	248
175	349	246
176	351	244
177	353	242
178	355	240
179	357	238
180	359	236
181	361	234
182	363	232
183	364	230
184	367	228
185	370	227
186	372	225
187	375	223
188	377	221
189	378	219
190	381	217
191	384	216
192	385	213
193	387	211
194	389	209
195	391	207
196	393	205
197	395	203
198	397	201
199	399	199
200	401	197
201	402	195
202	404	193
203	406	191
204	408	189
205	410	187
206	412	185
207	414	183
208	416	181
209	418	179
210	420	177
211	422	175
212	424	173
213	426	171
214	428	169
215	430	167
216	432	165
217	434	163
218	436	161
219	438	159
220	440	157
221	442	155
222	444	153
223	445	151
224	447	149
225	449	147
226	452	145
227	454	143
228	456	141
229	458	139
230	459	137
231	461	135
232	463	133
233	465	131
234	467	129
235	469	127
236	471	125
237	472	123
238	474	121
239	476	119
240	478	117
241	480	115
242	482	113
243	484	111
244	486	109
245	488	107
246	490	105
247	491	103
248	494	101
249	496	99
250	498	97
251	499	95
252	501	93
253	503	91
254	505	89
255	508	87
256	510	85
257	511	83
258	513	81
259	515	79
260	517	77
261	519	75
262	521	73
263	523	71
264	525	69
265	528	67
266	529	65
267	531	63
268	533	61
269	535	59
270	537	57
271	539	55
272	542	53
273	544	51
274	546	49
275	548	47
276	550	45
277	552	43
278	554	41
279	556	39
280	558	37
281	560	35
282	561	33
283	563	31
284	566	29
285	568	27
286	570	25
287	572	23
288	573	21
289	575	19
290	578	17
291	580	15
292	582	13
293	584	11
294	585	9
295	587	7
296	589	5
297	591	3
298	592	1
299	594	0
