iter	Passed	Remaining
0	2	804
1	4	670
2	6	624
3	7	588
4	9	567
5	11	565
6	13	562
7	15	564
8	17	553
9	19	554
10	21	552
11	22	545
12	24	543
13	26	537
14	28	543
15	31	551
16	32	546
17	34	542
18	36	537
19	38	538
20	40	534
21	42	533
22	44	534
23	46	529
24	47	524
25	49	520
26	51	517
27	52	513
28	54	510
29	57	513
30	59	513
31	60	509
32	62	507
33	64	506
34	66	502
35	68	499
36	70	498
37	72	497
38	73	494
39	76	495
40	78	493
41	79	490
42	81	488
43	84	489
44	86	487
45	88	486
46	89	484
47	91	481
48	93	479
49	95	478
50	97	475
51	99	474
52	101	472
53	103	471
54	105	469
55	107	469
56	109	467
57	111	464
58	113	464
59	115	462
60	117	459
61	118	456
62	120	454
63	122	451
64	124	449
65	126	448
66	128	448
67	130	445
68	132	444
69	134	442
70	136	440
71	138	437
72	140	436
73	142	434
74	144	432
75	146	430
76	147	428
77	149	425
78	151	423
79	153	420
80	155	420
81	157	418
82	159	416
83	161	415
84	163	412
85	165	410
86	167	409
87	169	408
88	172	408
89	173	405
90	175	402
91	177	400
92	179	399
93	181	396
94	183	395
95	185	394
96	187	391
97	188	389
98	190	387
99	192	385
100	194	382
101	196	381
102	198	379
103	200	377
104	201	374
105	204	373
106	205	371
107	207	368
108	209	366
109	211	365
110	213	363
111	215	361
112	217	359
113	218	356
114	220	355
115	222	353
116	225	351
117	226	349
118	228	347
119	230	345
120	231	343
121	233	340
122	235	338
123	237	336
124	238	334
125	241	332
126	243	331
127	244	328
128	246	326
129	248	324
130	250	323
131	252	320
132	254	319
133	256	317
134	257	315
135	259	313
136	261	311
137	263	309
138	266	308
139	268	306
140	270	304
141	272	302
142	274	300
143	275	298
144	277	296
145	279	294
146	281	292
147	282	290
148	285	288
149	286	286
150	289	285
151	290	283
152	292	281
153	294	279
154	296	277
155	298	275
156	300	273
157	302	271
158	303	269
159	305	267
160	307	265
161	309	263
162	311	261
163	313	259
164	314	257
165	316	255
166	318	253
167	319	251
168	321	249
169	323	247
170	325	245
171	327	243
172	328	241
173	331	239
174	333	237
175	334	235
176	336	233
177	338	232
178	340	230
179	343	228
180	344	226
181	346	224
182	348	222
183	350	220
184	352	219
185	354	217
186	356	215
187	358	213
188	360	211
189	361	209
190	364	207
191	365	205
192	367	203
193	370	202
194	373	200
195	375	199
196	377	197
197	379	195
198	381	193
199	383	191
200	384	189
201	386	187
202	388	185
203	390	183
204	392	181
205	394	179
206	396	178
207	398	176
208	400	174
209	402	172
210	404	170
211	406	168
212	409	167
213	411	165
214	413	163
215	416	161
216	417	159
217	419	157
218	421	156
219	423	154
220	426	152
221	427	150
222	429	148
223	431	146
224	433	144
225	435	142
226	436	140
227	439	138
228	441	136
229	442	134
230	444	132
231	446	130
232	448	128
233	449	126
234	452	125
235	454	123
236	455	121
237	457	119
238	459	117
239	461	115
240	463	113
241	465	111
242	467	109
243	469	107
244	471	105
245	472	103
246	474	101
247	476	99
248	478	98
249	480	96
250	482	94
251	484	92
252	486	90
253	487	88
254	489	86
255	491	84
256	493	82
257	495	80
258	498	78
259	499	76
260	501	74
261	503	72
262	504	71
263	506	69
264	508	67
265	510	65
266	512	63
267	514	61
268	516	59
269	517	57
270	519	55
271	521	53
272	523	51
273	525	49
274	527	47
275	529	46
276	530	44
277	532	42
278	534	40
279	536	38
280	538	36
281	540	34
282	542	32
283	543	30
284	545	28
285	547	26
286	548	24
287	550	22
288	553	21
289	555	19
290	558	17
291	560	15
292	561	13
293	563	11
294	565	9
295	567	7
296	569	5
297	571	3
298	573	1
299	574	0
