iter	Passed	Remaining
0	34	34797
1	58	29167
2	79	26313
3	101	25195
4	120	24011
5	138	22964
6	158	22430
7	176	21938
8	195	21562
9	215	21338
10	235	21142
11	254	20985
12	274	20824
13	293	20663
14	312	20508
15	331	20361
16	350	20239
17	369	20150
18	388	20038
19	407	19954
20	426	19879
21	445	19817
22	465	19770
23	484	19721
24	503	19621
25	522	19585
26	541	19523
27	561	19491
28	580	19450
29	600	19400
30	618	19335
31	637	19296
32	656	19235
33	675	19189
34	694	19159
35	713	19119
36	733	19079
37	751	19015
38	769	18964
39	788	18935
40	807	18886
41	827	18879
42	847	18855
43	866	18823
44	885	18790
45	904	18759
46	924	18746
47	944	18738
48	963	18705
49	982	18659
50	1001	18632
51	1020	18606
52	1039	18574
53	1059	18559
54	1079	18552
55	1099	18540
56	1119	18528
57	1138	18494
58	1158	18480
59	1178	18466
60	1197	18431
61	1216	18408
62	1235	18374
63	1254	18348
64	1274	18334
65	1294	18315
66	1314	18301
67	1334	18284
68	1354	18270
69	1374	18259
70	1394	18250
71	1415	18246
72	1437	18252
73	1460	18273
74	1479	18250
75	1499	18231
76	1520	18221
77	1541	18218
78	1562	18210
79	1582	18193
80	1601	18171
81	1621	18148
82	1641	18130
83	1660	18104
84	1678	18072
85	1698	18051
86	1717	18022
87	1736	17997
88	1756	17981
89	1775	17954
90	1794	17923
91	1812	17884
92	1831	17863
93	1850	17834
94	1869	17807
95	1889	17792
96	1909	17772
97	1927	17742
98	1947	17720
99	1965	17693
100	1984	17664
101	2004	17651
102	2025	17636
103	2044	17615
104	2064	17594
105	2083	17573
106	2103	17553
107	2122	17532
108	2142	17514
109	2163	17503
110	2183	17484
111	2205	17488
112	2226	17477
113	2246	17459
114	2267	17446
115	2288	17438
116	2308	17424
117	2330	17417
118	2351	17409
119	2373	17406
120	2394	17392
121	2414	17375
122	2434	17359
123	2454	17340
124	2473	17313
125	2492	17288
126	2512	17267
127	2531	17242
128	2550	17222
129	2570	17205
130	2590	17182
131	2608	17154
132	2629	17138
133	2650	17126
134	2670	17109
135	2689	17087
136	2708	17061
137	2726	17033
138	2744	17001
139	2764	16979
140	2783	16959
141	2803	16939
142	2823	16918
143	2841	16892
144	2860	16869
145	2880	16848
146	2899	16827
147	2920	16811
148	2938	16783
149	2958	16762
150	2977	16738
151	2996	16714
152	3015	16692
153	3034	16670
154	3054	16649
155	3073	16628
156	3092	16604
157	3111	16582
158	3131	16562
159	3151	16543
160	3170	16519
161	3188	16496
162	3208	16475
163	3227	16451
164	3246	16429
165	3266	16411
166	3285	16389
167	3304	16363
168	3323	16341
169	3342	16318
170	3361	16295
171	3381	16278
172	3400	16254
173	3418	16228
174	3437	16205
175	3456	16183
176	3475	16161
177	3494	16139
178	3514	16119
179	3533	16098
180	3553	16076
181	3572	16057
182	3591	16034
183	3610	16010
184	3629	15990
185	3649	15970
186	3668	15948
187	3687	15926
188	3705	15901
189	3724	15879
190	3744	15858
191	3762	15835
192	3781	15811
193	3800	15787
194	3818	15764
