iter	Passed	Remaining
0	185	185171
1	204	102260
2	224	74505
3	242	60417
4	261	51958
5	280	46451
6	299	42518
7	317	39376
8	335	36974
9	354	35052
10	372	33463
11	391	32201
12	409	31093
13	429	30217
14	447	29370
15	466	28674
16	488	28231
17	509	27786
18	530	27378
19	552	27087
20	575	26839
21	590	26230
22	592	25147
23	613	24950
24	634	24748
25	654	24526
26	674	24298
27	693	24084
28	715	23957
29	735	23767
30	756	23634
31	775	23466
32	796	23333
33	816	23195
34	834	23021
35	853	22866
36	872	22716
37	892	22590
38	912	22482
39	932	22375
40	951	22266
41	972	22181
42	992	22085
43	1011	21972
44	1029	21856
45	1049	21762
46	1067	21654
47	1086	21552
48	1107	21490
49	1128	21435
50	1149	21397
51	1169	21321
52	1189	21258
53	1209	21193
54	1228	21111
55	1247	21032
56	1266	20955
57	1286	20897
58	1304	20813
59	1324	20757
60	1344	20702
61	1364	20637
62	1384	20587
63	1406	20576
64	1425	20500
65	1444	20440
66	1462	20367
67	1481	20311
68	1503	20282
69	1521	20215
70	1540	20156
71	1560	20109
72	1578	20049
73	1597	19987
74	1616	19939
75	1635	19881
76	1653	19823
77	1672	19767
78	1692	19730
79	1712	19690
80	1731	19640
81	1750	19596
82	1769	19548
83	1789	19516
84	1808	19473
85	1828	19434
86	1847	19383
87	1866	19339
88	1885	19300
89	1908	19296
90	1927	19252
91	1946	19214
92	1967	19192
93	1986	19146
94	2009	19145
95	2028	19097
96	2046	19052
97	2066	19016
98	2085	18982
99	2105	18947
100	2123	18905
101	2143	18868
102	2162	18831
103	2181	18797
104	2202	18770
105	2220	18730
106	2239	18687
107	2258	18651
108	2276	18607
109	2295	18572
110	2314	18535
111	2333	18498
112	2356	18498
113	2374	18456
114	2392	18415
115	2412	18385
116	2431	18351
117	2449	18312
118	2469	18280
119	2487	18243
120	2510	18239
121	2531	18215
122	2548	18174
123	2568	18142
124	2587	18115
125	2606	18079
126	2625	18045
127	2643	18010
128	2661	17972
129	2680	17940
130	2700	17914
131	2720	17888
132	2743	17882
133	2761	17847
134	2780	17814
135	2800	17791
136	2819	17762
137	2839	17734
138	2857	17700
139	2876	17671
140	2895	17637
141	2914	17608
142	2934	17586
143	2953	17558
144	2972	17525
145	2991	17496
146	3011	17473
147	3029	17437
148	3047	17407
149	3067	17380
150	3087	17361
151	3107	17338
152	3127	17312
153	3146	17284
154	3165	17258
155	3185	17232
156	3207	17222
157	3225	17187
158	3244	17162
159	3262	17130
160	3281	17100
161	3300	17070
162	3318	17041
163	3337	17014
164	3357	16992
165	3376	16962
166	3395	16938
167	3415	16916
168	3435	16893
169	3454	16868
170	3474	16843
171	3493	16818
172	3515	16806
173	3534	16780
174	3552	16748
175	3571	16720
176	3589	16692
177	3608	16666
178	3626	16634
179	3645	16606
180	3664	16579
181	3694	16604
182	3723	16623
183	3747	16619
184	3766	16591
185	3785	16565
186	3804	16539
187	3822	16507
188	3840	16479
189	3858	16451
190	3878	16427
191	3898	16405
192	3918	16386
193	3937	16358
194	3957	16338
195	3976	16311
196	3994	16282
197	4014	16259
198	4032	16230
199	4053	16213
200	4071	16184
201	4089	16155
202	4109	16135
203	4129	16113
204	4148	16089
205	4169	16070
206	4189	16049
207	4210	16032
208	4229	16007
209	4247	15980
210	4265	15949
211	4283	15923
212	4303	15899
213	4320	15869
214	4339	15842
215	4357	15816
216	4376	15792
217	4402	15791
218	4419	15761
219	4437	15734
220	4456	15709
221	4475	15683
222	4499	15678
223	4521	15662
224	4539	15637
225	4557	15609
226	4576	15585
227	4595	15559
228	4612	15530
229	4631	15506
230	4649	15478
231	4668	15452
232	4687	15431
233	4706	15406
234	4725	15381
235	4743	15356
236	4766	15344
