,Closing_price
0,61.4
1,61.495
2,61.508
3,61.391
4,61.565
5,61.83
6,61.771
7,61.715
8,61.938
9,61.923
10,61.68
11,61.853
12,61.84
13,61.788
14,61.853
15,62.23
16,61.948
17,61.788
18,61.856
19,61.62
20,61.97
21,61.82
22,61.873
23,62.108
24,62.473
25,62.6
26,63.168
27,63.653
28,63.518
29,62.983
30,63.255
31,63.223
32,63.433
33,63.515
34,63.513
35,63.515
36,63.378
37,63.028
38,63.028
39,63.27
40,63.338
41,63.568
42,63.273
43,62.668
44,62.11
45,62.068
46,61.973
47,62.088
48,62.055
49,61.61
50,61.638
51,61.648
52,61.553
53,61.598
54,61.455
55,61.473
56,61.343
57,61.351
58,61.777
59,62.13
60,61.748
61,61.594
62,61.809
63,61.741
64,61.84
65,62.151
66,62.32
67,62.399
68,62.134
69,62.05
70,62.213
71,62.151
72,62.083
73,62.18
74,62.266
75,62.154
76,62.233
77,61.853
78,61.722
79,61.63
80,61.9
81,61.81
82,62.281
83,62.435
84,62.78
85,62.643
86,62.713
87,62.756
88,62.533
89,62.965
90,62.783
91,62.616
92,62.69
93,62.59
94,62.395
95,62.215
96,62.258
97,62.45
98,62.829
99,62.517
100,62.576
101,62.369
102,62.27
103,62.046
104,61.925
105,62.196
106,62.316
107,62.165
108,62.155
109,62.395
110,62.357
111,62.295
112,62.393
113,62.33
114,62.543
115,62.961
116,62.931
117,62.92
118,63.336
119,63.543
120,63.542
121,63.14
122,63.355
123,63.613
124,63.645
125,63.65
126,63.382
127,63.501
128,64.14
129,63.735
130,63.924
131,64.232
132,63.852
133,63.45
134,63.381
135,63.72
136,63.771
137,63.85
138,63.535
139,63.435
140,63.48
141,63.946
142,63.898
143,63.821
144,63.795
145,63.599
146,63.658
147,64.028
148,63.97
149,63.755
150,63.996
151,64.001
152,63.867
153,63.948
154,64.013
155,64.08
156,64.205
157,64.168
158,63.737
159,63.504
160,63.494
161,63.632
162,63.55
163,63.576
164,63.586
165,63.84
166,63.652
167,63.634
168,63.405
169,63.46
170,63.356
171,63.509
172,63.569
173,63.312
174,63.359
175,63.519
176,63.295
177,63.57
178,63.509
179,63.46
180,63.686
181,63.601
182,63.6
183,63.819
184,64.068
185,64.214
186,63.74
187,63.827
188,64.06
189,64.11
190,63.95
191,63.764
192,63.672
193,63.688
194,63.73
195,63.78
196,64.21
197,64.717
198,65.307
199,65.02
200,65.392
201,65.432
202,65.05
203,65.491
204,65.95
205,66.804
206,66.102
207,66.107
208,66.003
209,66.184
210,66.421
211,66.352
212,66.199
213,66.074
214,66.679
215,66.81
216,66.358
217,66.461
218,66.436
219,66.371
220,66.247
221,66.397
222,66.45
223,66.07
224,65.858
225,65.649
226,65.8
227,66.119
228,66.32
229,66.127
230,66.257
231,65.909
232,65.478
233,65.601
234,65.354
235,65.121
236,65.18
237,64.897
238,64.985
239,64.696
240,64.737
241,65.057
242,64.871
243,64.758
244,64.704
245,64.917
246,64.967
247,65.19
248,64.91
249,64.882
250,64.805
251,65.096
252,64.943
253,65.35
254,65.413
255,65.587
256,65.535
257,65.446
258,65.88
259,66.13
260,66.465
261,66.19
262,66.055
263,66.03
264,66.048
265,65.983
266,65.96
267,66.124
268,66.075
269,66.053
270,66.338
271,66.29
272,66.323
273,66.57
274,66.9
275,66.486
276,66.488
277,66.513
278,66.825
279,66.67
280,66.755
281,66.754
282,66.846
283,66.697
284,67.073
285,67.037
286,66.831
287,66.576
288,66.34
289,66.277
290,66.191
291,66.2
292,66.147
293,65.96
294,65.979
295,66.148
296,66.232
297,66.38
298,66.405
299,66.13
300,66.554
301,66.503
302,66.709
303,66.9
304,66.815
305,66.775
306,66.806
307,66.88
308,67.393
309,67.81
310,67.72
311,67.711
312,68.021
313,67.883
314,67.555
315,67.706
316,67.689
317,68.13
318,68.022
319,67.867
320,67.91
321,67.911
322,67.935
323,67.539
324,67.8
325,68.003
326,67.89
327,67.855
328,68.399
329,68.108
330,68.162
331,68.448
332,68.328
333,68.541
334,68.69
335,68.527
336,68.556
337,68.546
338,68.83
339,68.819
340,68.215
341,67.675
342,67.414
343,67.16
344,66.948
345,66.946
346,67.308
347,67.158
348,67.35
349,66.956
350,67.143
351,67.39
352,67.163
353,66.46
354,66.44
355,66.534
356,66.69
357,66.83
358,66.905
359,66.888
360,66.58
361,66.366
362,66.37
363,66.25
364,66.345
365,66.049
366,66.529
367,66.61
368,66.693
369,66.541
370,66.322
371,66.273
372,66.577
373,66.516
374,66.581
375,66.421
376,66.14
377,66.142
378,66.408
379,66.637
380,66.659
381,66.392
382,66.41
383,66.36
384,66.419
385,66.344
386,66.524
387,66.64
388,66.533
389,66.533
390,66.691
391,66.619
392,66.547
393,66.683
394,66.9
395,66.835
396,66.741
397,66.966
398,67.433
399,67.442
400,67.439
401,67.701
402,67.237
403,67.064
404,66.936
405,66.959
406,67.114
407,67.438
408,67.25
409,66.99
410,66.84
411,66.659
412,66.488
413,66.703
414,66.969
415,67.187
416,67.343
417,67.083
418,67.284
419,67.098
420,67.542
421,67.707
422,67.449
423,67.296
424,67.833
425,67.916
426,67.863
427,67.404
428,67.5
429,67.18
430,67.18
431,67.379
432,67.455
433,67.484
434,67.15
435,67.138
436,67.044
437,67.009
438,66.827
439,66.98
440,67.14
441,67.173
442,67.182
443,67.164
444,67.189
445,67.4
446,67.36
447,67.135
448,67.035
449,66.749
450,66.702
451,66.706
452,66.845
453,66.756
454,66.829
455,66.819
456,66.758
457,66.74
458,66.759
459,66.896
460,66.857
461,66.832
462,66.903
463,66.865
464,67.096
465,67.186
466,67.093
467,67.115
468,67.009
469,67.127
470,67.162
471,67.135
472,66.93
473,66.818
474,66.79
475,66.485
476,66.26
477,66.403
478,66.524
479,66.76
480,66.779
481,67.105
482,66.781
483,66.88
484,67.091
485,66.937
486,66.976
487,66.982
488,66.596
489,66.659
490,66.564
491,66.496
492,66.352
493,66.757
494,66.619
495,66.509
496,66.482
497,66.513
498,66.775
499,66.626
500,66.511
501,66.78
502,66.848
503,66.88
504,66.7
505,66.789
506,66.719
507,66.65
508,66.75
509,66.945
510,66.878
511,66.795
512,66.846
513,66.845
514,66.796
515,66.7
516,66.725
517,66.71
518,66.683
519,66.78
520,66.75
521,66.26
522,66.5
523,67.07
524,67.529
525,67.775
526,67.785
527,68.079
528,67.99
529,68.18
530,68.234
531,68.462
532,68.785
533,68.805
534,68.46
535,68.564
536,68.6
537,68.557
538,68.4
539,68.034
540,68.015
541,67.726
542,67.431
543,67.403
544,67.459
545,67.414
546,67.386
547,67.517
548,67.845
549,67.845
550,67.84
551,67.894
552,67.824
553,67.835
554,67.826
555,67.771
556,67.965
557,68.205
558,67.93
559,67.944
560,68.137
561,68.269
562,67.885
563,67.73
564,68.09
565,68.094
566,68.315
567,68.1
568,68.129
569,68.16
570,68.095
571,67.883
572,68.212
573,68.089
574,68.049
575,68.049
576,68.159
577,67.97
578,68.145
579,68.079
580,67.82
581,67.489
582,67.379
583,67.199
584,67.174
585,67.18
586,67.33
587,67.045
588,66.739
589,66.812
590,66.899
591,66.809
592,66.849
593,67.059
594,67.06
595,66.895
596,66.95
597,66.9
598,66.684
599,66.619
600,66.689
601,66.69
602,66.7
603,66.759
604,66.749
605,66.649
606,66.614
607,66.76
608,66.75
609,66.529
610,66.159
611,65.759
612,65.25
613,65.359
614,65.449
615,65.319
616,65.48
617,65.429
618,65.429
619,65.4
620,64.97
621,65.02
622,64.84
623,64.85
624,64.849
625,64.96
626,65.07
627,64.97
628,64.602
629,64.266
630,64.57
631,64.55
632,64.57
633,64.429
634,64.459
635,64.459
636,64.589
637,64.629
638,64.609
639,64.629
640,64.485
641,64.31
642,64.11
643,64.1
644,64.31
645,64.239
646,64.149
647,64.15
648,64.2
649,64.3
650,64.339
651,64.668
652,64.525
653,64.389
654,64.237
655,64.04
656,63.93
657,64.29
658,64.87
659,64.559
660,64.479
661,64.869
662,64.75
663,64.55
664,64.505
665,64.535
666,64.6
667,64.505
668,64.435
669,64.399
670,64.33
671,64.419
672,64.409
673,64.239
674,64.239
675,64.47
676,64.33
677,64.23
678,64.54
679,64.429
680,64.469
681,64.52
682,64.529
683,64.589
684,64.479
685,64.43
686,64.47
687,64.5
688,64.655
689,64.615
690,64.84
691,64.775
692,64.794
693,64.775
694,64.585
695,64.449
696,64.55
697,64.45
698,64.454
699,64.29
700,64.32
701,64.266
702,64.25
703,64.43
704,64.38
705,64.34
706,64.38
707,64.358
708,64.108
709,64.15
710,64.18
711,64.089
712,63.629
713,63.69
714,63.623
715,63.795
716,63.686
717,63.83
718,64.089
719,64.13
720,64.24
721,64.115
722,64.15
723,64.165
724,64.15
725,64.13
726,64.095
727,64.108
728,64.06
729,64.03
730,63.82
731,64.01
732,64.015
733,63.96
734,64.02
735,64.05
736,64.1
737,64.095
738,64.009
739,63.85
740,63.93
741,64.035
742,64.0
743,64.115
744,64.073
745,64.152
746,64.294
747,64.26
748,64.799
749,64.79
750,65.122
751,65.455
752,65.71
753,65.46
754,65.28
755,65.5
756,65.479
757,65.024
758,65.139
759,65.375
760,65.35
761,65.28
762,65.15
763,65.05
764,64.695
765,64.694
766,65.024
767,65.039
768,64.989
769,65.035
770,65.017
771,65.079
772,64.89
773,64.829
774,65.045
775,64.849
776,64.739
777,64.59
778,64.608
779,64.55
780,64.675
781,65.05
782,64.915
783,64.97
784,65.16
785,65.429
786,65.399
787,65.259
788,65.289
789,64.9042
790,65.094
791,64.7772
792,64.869
793,64.602
794,64.669
795,64.4978
796,64.399
797,64.349
798,64.479
799,64.509
800,64.369
801,64.3936
802,64.519
803,64.559
804,64.469
805,64.3987
806,64.5789
807,64.3347
808,64.329
809,64.07
810,64.18
811,64.05
812,64.11
813,64.009
814,64.009
815,64.045
816,64.039
817,64.109
818,64.07
819,63.83
820,63.675
821,63.45
822,63.4428
823,63.394
824,63.329
825,63.5132
826,63.664
827,63.619
828,63.6896
829,63.599
830,63.509
831,64.009
832,63.879
833,63.859
834,63.819
835,63.879
836,63.749
837,63.583
838,63.509
839,63.569
840,63.6407
841,63.679
842,63.6937
843,63.9455
844,64.119
845,64.129
846,64.199
847,64.269
848,64.46
849,64.339
850,64.269
851,64.259
852,64.094
853,63.889
854,64.239
855,64.5504
856,64.849
857,64.799
858,64.969
859,64.8887
860,64.76
861,64.909
862,65.199
863,65.219
864,65.2136
865,65.019
866,64.8268
867,64.869
868,65.099
869,64.9711
870,64.979
871,64.849
872,64.829
873,65.0496
874,65.0836
875,65.21
876,65.229
877,65.0739
878,65.1946
879,64.979
880,64.7576
881,64.939
882,65.149
883,65.109
884,65.109
885,65.12
886,64.989
887,65.0206
888,64.88
889,64.92
890,64.8926
891,64.939
892,65.254
893,65.279
894,65.2411
895,65.46
896,65.684
897,65.709
898,66.123
899,66.242
900,66.52
901,66.47
902,66.918
903,66.799
904,66.59
905,66.45
906,66.84
907,66.68
908,66.659
909,66.809
910,67.1296
911,67.2
912,67.344
913,67.239
914,67.389
915,67.549
916,68.069
917,67.769
918,67.759
919,68.0099
920,68.0763
921,68.097
922,68.2837
923,68.26
924,67.73
925,67.395
926,67.8777
927,67.4419
928,67.42
929,66.9692
930,67.0821
931,67.1066
932,66.829
933,67.4276
934,67.5273
935,67.465
936,67.475
937,67.5619
938,67.68
939,68.1887
940,68.03
941,68.04
942,68.05
943,67.94
944,67.8917
945,68.1245
946,68.36
947,68.9325
948,68.83
949,68.45
950,68.71
951,68.5211
952,68.685
953,68.87
954,68.7663
955,68.66
956,68.749
957,68.724
958,68.479
959,68.489
960,68.5406
961,68.419
962,68.5136
963,69.009
964,68.7553
965,68.9741
966,68.942
967,68.724
968,68.7521
969,68.6975
970,68.6
971,68.5232
972,68.34
973,68.62
974,68.5113
975,68.8248
976,68.6547
977,68.5
978,68.8745
979,69.1327
980,70.085
981,69.95
982,70.26
983,70.079
984,69.8596
985,69.8305
986,69.849
987,69.86
988,70.2885
989,69.7927
990,69.9884
991,70.2147
992,70.6168
993,70.9955
994,70.8082
995,71.21
996,71.579
997,71.749
998,71.985
999,72.1009
1000,72.55
1001,72.629
1002,71.89
1003,71.6
1004,71.87
1005,72.53
1006,72.7532
1007,72.35
1008,72.01
1009,72.1822
1010,72.66
1011,72.7437
1012,72.4249
1013,72.56
1014,72.5544
1015,73.4246
1016,73.3648
1017,73.84
1018,73.62
1019,74.12
1020,73.9146
1021,74.1026
1022,74.3735
1023,73.8666
1024,73.599
1025,73.76
1026,73.46
1027,73.59
1028,73.52
1029,73.37
1030,73.555
1031,73.23
1032,73.22
1033,73.21
1034,73.09
1035,73.394
1036,73.669
1037,73.949
1038,73.08
1039,72.9
1040,73.074
1041,72.949
1042,72.439
1043,72.6
1044,72.64
1045,72.855
1046,72.3
1047,72.304
1048,71.909
1049,71.974
1050,71.605
1051,71.42
1052,71.11
1053,70.684
1054,70.65
1055,70.81
1056,70.78
1057,70.39
1058,69.72
1059,69.7
1060,70.429
1061,70.52
1062,70.55
1063,70.55
1064,71.35
1065,72.489
1066,72.273
1067,71.829
1068,71.519
1069,71.91
1070,71.599
1071,70.609
1072,70.679
1073,69.962
1074,70.34
1075,70.099
1076,70.029
1077,70.17
1078,70.09
1079,69.81
1080,69.559
1081,69.447
1082,69.979
1083,70.19
1084,69.539
1085,69.77
1086,70.13
1087,70.55
1088,70.409
1089,70.381
1090,70.749
1091,71.099
1092,70.969
1093,71.029
1094,71.199
1095,71.176
1096,71.23
1097,71.136
1098,70.989
1099,70.889
1100,71.075
1101,71.407
1102,71.219
1103,70.949
1104,71.45
1105,71.68
1106,71.509
1107,71.539
1108,71.289
1109,71.159
1110,71.129
1111,70.535
1112,70.869
1113,71.017
1114,71.319
1115,71.37
1116,71.3
1117,71.046
1118,71.15
1119,71.019
1120,70.817
1121,70.999
1122,71.189
1123,70.8
1124,70.989
1125,70.899
1126,70.47
1127,70.069
1128,70.093
1129,69.994
1130,69.79
1131,69.614
1132,69.64
1133,69.359
1134,68.937
1135,68.619
1136,69.009
1137,68.5
1138,68.75
1139,69.16
1140,68.92
1141,68.985
1142,69.089
1143,69.172
1144,69.179
