Date,Open_price,Day_high,Day_low,Closing_price,Currency Pair
2014-11-07,61.39,61.62,61.34,61.4,USD/INR
2014-11-10,61.5,61.635,61.34,61.495,USD/INR
2014-11-11,61.53,61.555,61.505,61.508,USD/INR
2014-11-12,61.508,61.56,61.35,61.391,USD/INR
2014-11-13,61.368,61.623,61.35,61.565,USD/INR
2014-11-14,61.593,61.86,61.48,61.83,USD/INR
2014-11-17,61.745,61.823,61.59,61.771,USD/INR
2014-11-18,61.823,61.873,61.66,61.715,USD/INR
2014-11-19,61.715,62.0801,61.71,61.938,USD/INR
2014-11-20,61.938,62.25,61.87,61.923,USD/INR
2014-11-21,61.923,61.923,61.55,61.68,USD/INR
2014-11-24,61.821,61.9,61.81,61.853,USD/INR
2014-11-25,61.853,62.033,61.77,61.84,USD/INR
2014-11-26,61.84,61.905,61.677,61.788,USD/INR
2014-11-27,61.788,61.9351,61.72,61.853,USD/INR
2014-11-28,61.853,62.26,61.72,62.23,USD/INR
2014-12-01,62.203,62.29,61.89,61.948,USD/INR
2014-12-02,61.948,62.02,61.75,61.788,USD/INR
2014-12-03,61.788,62.03,61.77,61.856,USD/INR
2014-12-04,61.856,61.95,61.57,61.62,USD/INR
2014-12-05,61.783,61.98,61.62,61.97,USD/INR
2014-12-08,61.903,62.0,61.77,61.82,USD/INR
2014-12-09,61.818,62.0,61.818,61.873,USD/INR
2014-12-10,61.873,62.28,61.763,62.108,USD/INR
2014-12-11,62.108,62.58,62.0,62.473,USD/INR
2014-12-12,62.473,62.66,62.203,62.6,USD/INR
2014-12-15,62.518,63.66,62.29,63.168,USD/INR
2014-12-16,63.168,64.08,62.803,63.653,USD/INR
2014-12-17,63.653,63.95,63.3,63.518,USD/INR
2014-12-18,63.518,63.635,62.919,62.983,USD/INR
2014-12-19,62.983,63.42,62.975,63.255,USD/INR
2014-12-22,63.255,63.34,63.12,63.223,USD/INR
2014-12-23,63.223,63.5,63.215,63.433,USD/INR
