iter	Passed	Remaining
0	209	209529
1	265	132267
2	319	106302
3	374	93282
4	431	85859
5	484	80284
6	535	75995
7	583	72407
8	631	69495
9	676	66972
10	727	65371
11	779	64161
12	828	62934
13	887	62513
14	1067	70123
15	1115	68619
16	1164	67322
17	1209	66011
18	1257	64917
19	1306	64016
20	1357	63278
21	1402	62342
22	1452	61718
23	1500	61030
24	1550	60457
25	1599	59934
26	1649	59452
27	1700	59021
28	1750	58606
29	1799	58169
30	1848	57777
31	1898	57421
32	1947	57078
33	1997	56763
34	2047	56452
35	2098	56199
36	2147	55882
37	2198	55669
38	2248	55412
39	2300	55214
40	2348	54933
41	2403	54812
42	2451	54561
43	2504	54409
44	2552	54170
45	2605	54027
46	2656	53871
47	2710	53766
48	2762	53614
49	2815	53486
50	2864	53295
51	2912	53091
52	2965	52979
53	3020	52906
54	3069	52740
55	3123	52650
56	3175	52532
57	3231	52477
58	3282	52351
59	3335	52253
60	3376	51973
61	3422	51776
62	3473	51660
63	3522	51513
64	3573	51401
65	3623	51284
66	3672	51143
67	3718	50969
68	3763	50782
69	3809	50607
70	3858	50489
71	3904	50324
72	3952	50194
73	3998	50036
74	4044	49882
75	4101	49870
76	4160	49876
77	4234	50049
78	4314	50295
79	4382	50396
80	4443	50416
81	4500	50380
82	4551	50284
83	4602	50193
84	4653	50093
85	4702	49981
86	4752	49877
87	4800	49746
88	4847	49620
89	4897	49515
90	4944	49394
91	4995	49304
92	5044	49194
93	5090	49060
94	5136	48933
95	5181	48790
96	5229	48685
97	5278	48585
98	5327	48483
99	5373	48359
100	5420	48250
101	5465	48121
102	5513	48016
103	5560	47905
104	5608	47807
105	5652	47676
106	5696	47540
107	5742	47431
108	5785	47294
109	5827	47150
110	5875	47060
111	5925	46984
112	5972	46884
113	6021	46797
114	6071	46722
115	6115	46601
116	6159	46485
117	6201	46356
118	6246	46247
119	6293	46154
120	6340	46059
121	6390	45993
122	6439	45915
123	6490	45850
124	6537	45764
125	6587	45693
126	6635	45611
127	6687	45558
128	6735	45480
129	6784	45401
130	6832	45322
131	6872	45194
132	6919	45107
133	6968	45037
134	7012	44930
135	7058	44841
136	7102	44743
137	7145	44631
138	7190	44540
139	7241	44485
140	7287	44397
141	7337	44334
142	7386	44266
143	7436	44204
144	7485	44140
145	7535	44078
146	7584	44008
147	7636	43959
148	7685	43897
149	7732	43816
150	7785	43776
151	7832	43699
152	7884	43649
153	7930	43565
154	7972	43464
155	8016	43373
156	8059	43275
157	8104	43189
158	8147	43096
159	8197	43038
160	8241	42949
161	8287	42868
162	8331	42782
163	8379	42715
164	8425	42638
165	8473	42572
166	8519	42494
167	8566	42422
168	8613	42352
169	8660	42284
170	8711	42231
171	8754	42144
172	8798	42060
173	8842	41975
174	8892	41920
175	8941	41861
176	8981	41763
177	9028	41693
178	9077	41635
179	9139	41636
180	9197	41618
181	9256	41604
182	9320	41612
183	9385	41623
184	9452	41640
185	9513	41634
186	9587	41683
187	9657	41714
188	9735	41776
189	9805	41800
190	9874	41823
191	9942	41842
192	10010	41857
193	10083	41892
194	10147	41890
195	10218	41916
196	10285	41925
197	10347	41910
198	10411	41908
199	10478	41912
200	10528	41850
201	10588	41831
202	10651	41820
203	10707	41779
204	10754	41707
205	10801	41633
206	10851	41570
207	10900	41505
208	10950	41444
209	11007	41410
210	11061	41364
211	11105	41279
212	11149	41195
213	11201	41140
214	11248	41070
215	11291	40982
216	11330	40883
217	11372	40795
218	11413	40702
219	11453	40606
220	11498	40532
221	11553	40489
222	11599	40417
223	11647	40349
224	11696	40289
225	11761	40279
226	11817	40243
227	11870	40194
228	11925	40149
229	11978	40102
230	12031	40051
231	12090	40022
232	12142	39972
233	12197	39927
234	12248	39873
235	12301	39822
236	12352	39767
237	12399	39698
238	12449	39639
239	12514	39630
240	12590	39652
241	12658	39649
242	12725	39641
243	12794	39642
244	12869	39658
245	12943	39670
246	13025	39707
247	13096	39712
248	13166	39710
249	13235	39705
250	13308	39713
251	13383	39725
252	13454	39726
253	13538	39762
254	13608	39758
255	13671	39733
256	13723	39674
257	13769	39600
258	13818	39535
259	13871	39479
260	13939	39468
261	14004	39448
262	14061	39404
263	14116	39353
264	14160	39274
265	14205	39199
266	14260	39148
267	14305	39074
268	14353	39006
269	14405	38948
270	14456	38889
271	14506	38827
272	14550	38747
273	14593	38667
274	14637	38590
275	14676	38500
276	14725	38436
277	14766	38351
278	14825	38311
279	14875	38252
280	14918	38172
281	14957	38083
282	15004	38013
283	15046	37934
284	15093	37865
285	15133	37780
286	15173	37696
287	15220	37628
288	15260	37544
289	15311	37486
290	15361	37426
291	15408	37359
292	15457	37298
293	15508	37241
294	15571	37213
295	15640	37199
296	15796	37391
297	15853	37345
298	15907	37294
299	15964	37250
300	16016	37193
301	16064	37129
302	16121	37085
303	16179	37042
304	16245	37019
305	16313	36998
306	16375	36965
307	16442	36941
308	16506	36912
309	16574	36890
310	16639	36863
311	16700	36827
312	16772	36814
313	16848	36808
314	16930	36816
315	17006	36811
316	17079	36799
317	17134	36746
318	17185	36688
319	17237	36629
320	17290	36574
321	17352	36537
322	17427	36527
323	17504	36521
324	17563	36477
325	17625	36440
326	17705	36439
327	17779	36426
328	17855	36416
329	17923	36390
330	18007	36395
331	18080	36378
332	18162	36379
333	18245	36381
334	18331	36389
335	18403	36369
336	18471	36339
337	18534	36300
338	18596	36259
339	18654	36211
340	18713	36164
341	18769	36112
342	18825	36059
343	18879	36002
344	18943	35964
345	19002	35917
346	19060	35869
347	19111	35806
348	19166	35751
349	19220	35694
350	19272	35634
351	19321	35568
352	19373	35509
353	19425	35449
354	19482	35397
355	19534	35338
356	19595	35294
357	19667	35268
358	19727	35222
359	19778	35161
360	19832	35105
361	19884	35044
362	19938	34988
363	19987	34923
364	20041	34866
365	20089	34800
366	20141	34739
367	20196	34685
368	20260	34646
369	20345	34643
370	20416	34614
371	20492	34595
372	20573	34584
373	20661	34583
374	20869	34782
375	20995	34843
376	21061	34805
377	21119	34752
378	21174	34695
379	21240	34656
380	21311	34623
381	21367	34567
382	21416	34501
383	21468	34438
384	21526	34386
385	21584	34334
386	21640	34278
387	21686	34207
388	21736	34141
389	21785	34074
390	21833	34005
391	21886	33946
392	21935	33880
393	21984	33813
394	22033	33746
395	22087	33688
396	22149	33642
397	22216	33603
398	22289	33573
399	22345	33518
400	22395	33452
401	22447	33392
402	22497	33327
403	22548	33264
404	22602	33205
405	22656	33148
406	22709	33087
407	22762	33027
408	22813	32965
409	22864	32903
410	22916	32841
411	22972	32786
412	23050	32761
