Models,MAE,MSE,MAPE,R^2,,,Models,MAE,MSE,MAPE,R^2,
RNN,2.692,9.243,2.732,0.821,,,Random Forest,0.238,0.099,0.252,0.998,
LSTM,2.627,9.155,2.659,0.823,,,SVM,0.159,0.043,0.169,0.999,
GRU,2.62,8.81,2.659,0.829,,,Gradient Boosting,0.256,0.106,0.27,0.997,
CNN,1.01,1.605,1.034,0.969,,,KNN,0.337,0.192,0.355,0.996,
CNN-LSTM,3.483,13.95,3.574,0.73,,,XGBoost,0.25,0.108,0.265,0.997,
SARIMA,2.906,10.556,2.784,0.123,,,Light BGM,0.254,0.114,0.268,0.997,
FB Prophet,54.669,6307.041,52.387,-523.094,,,CatBoost,0.29,0.147,0.306,0.997,
BiLSTM,0.076,0.008,11.14,0.845,,,Linear regression,0.179,0.066,0.189,0.999,
,,,,,,,MLP,0.254,0.117,0.269,0.998,
,,,,,,,,,,,,
,,,,,,,,,,,,
usd inr,,,,,,,,,,,,
,,,,,,,,,,,,
Models,MAE,MSE,MAPE,R^2,,,Models,MAE,MSE,MAPE,R^2,
RNN,0.348,0.189,0.005,0.996,,,Random Forest,0.096,0.019,0.135,1.000,
LSTM,0.494,0.376,0.007,0.992,,,SVM,0.123,0.029,0.17,0.999,
GRU,0.227,0.087,0.003,0.998,,,Gradient Boosting,0.105,0.021,0.147,1.000,
CNN,0.434,0.319,0.006,0.993,,,KNN,0.152,0.045,0.212,0.999,
CNN-LSTM,0.47,0.319,0.006,0.993,,,XGBoost,0.099,0.018,0.138,1.000,
SARIMA,2.906,10.556,2.784,0.123,,,Light BGM,0.098,0.019,0.137,1.000,
FB Prophet,0.15,0.044,0.168,0.989,,,CatBoost,0.14,0.037,0.195,0.999,
BiLSTM,0.267,0.125,0.004,0.997,,,Linear regression,0.065,0.008,0.091,1.000,
,,,,,,,MLP,0.157,0.045,0.22,0.999,
,,,,,,,,,,,,
JPY-inr,,,,,,,,,,,,
,,,,,,,,,,,,
Models,MAE,MSE,MAPE,R^2,,,Models,MAE,MSE,MAPE,R^2,
RNN,0.348,0.189,0.005,0.996,,,Random Forest,0.096,0.019,0.135,1.000,
LSTM,2.627,9.155,2.659,0.823,,,SVM,0.123,0.029,0.17,0.999,
GRU,2.62,8.81,2.659,0.829,,,Gradient Boosting,0.256,0.106,0.27,0.997,
CNN,0.434,0.319,0.006,0.993,,,KNN,0.337,0.192,0.355,0.996,
CNN-LSTM,0.47,0.319,0.006,0.993,,,XGBoost,0.25,0.108,0.265,0.997,
SARIMA,2.906,10.556,2.784,0.123,,,Light BGM,0.254,0.114,0.268,0.997,
FB Prophet,0.15,0.044,0.168,0.989,,,CatBoost,0.29,0.147,0.306,0.997,
BiLSTM,0.267,0.125,0.004,0.997,,,Linear regression,0.065,0.008,0.091,1.000,
,,,,,,,MLP,0.157,0.045,0.22,0.999,
